"cd_regime_internacao";"ano_realizacao";"n_internacao";"vl_procedimento"
"1";"2023";6676799;83013080113.61
"1";"2024";6472325;79843609341.11
"2";"2023";890129;4578739629.81
"2";"2024";916773;4626024672.90
"3";"2023";229474;2883261865.56
"3";"2024";213036;2485523142.68
"";"2015";211654;784199040
"1";"2015";3921280;31297473636
"2";"2015";308972;4915078549
"3";"2015";109788;920920431
"";"2016";173659;846727112
"1";"2016";4061376;38381429260
"2";"2016";356793;1384355611
"3";"2016";114445;1160246267
"";"2017";378773;2099512916
"1";"2017";4762281;50461269742
"2";"2017";412182;1534603244
"3";"2017";155323;1573049501
"";"2018";422952;2245213099
"1";"2018";4352401;43322206123
"2";"2018";404019;1646416031
"3";"2018";139982;1255343504
"";"2019";64172;1281975018
"1";"2019";4566572;46508371076
"2";"2019";463785;2364858853
"3";"2019";140214;1407268982
"";"2020";64431;720767431
"1";"2020";4087869;55869805781
"2";"2020";391391;2876665183
"3";"2020";178896;1735114201
"";"2021";43962;416156007
"1";"2021";4835281;66416029544
"2";"2021";590996;3009306285
"3";"2021";217078;1934743360
"";"2022";86566;393135842.6
"1";"2022";5967874;70434070883
"2";"2022";774201;3774196463
"3";"2022";227963;2115868855
;"2023";31482;261228588.72
;"2024";21504;212062956.16
